scientific_name,group,source,conservation_status,match_level,speciesnet_detectable,geofence_status,speciesnet_common_name,speciesnet_label
Botaurus pinnatus,Ave,Lista Roja de las Aves del Ecuador 2019,,direct_model_species,yes,allowed,pinnated bittern,1bb5a9f4-ef57-449e-917f-8af17b7ed02b;aves;pelecaniformes;ardeidae;botaurus;pinnatus;pinnated bittern
Brachygalba lugubris,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
British butterflies,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Brotogeris cyanoptera,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Brotogeris pyrrhoptera,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Brotogeris sanctithomae,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Brotogeris versicolurus,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Bubo virginianus,Ave,Lista Roja de las Aves del Ecuador 2019,,direct_model_species,yes,allowed,great horned owl,b9f145ef-bd00-4d66-93ba-6e3fb4e51e9f;aves;strigiformes;strigidae;bubo;virginianus;great horned owl
Bubulcus ibis,Ave,Lista Roja de las Aves del Ecuador 2019,,direct_model_species,yes,allowed,cattle egret,ce2e0e86-5580-4ab4-974a-4970753a140f;aves;pelecaniformes;ardeidae;bubulcus;ibis;cattle egret
Bucco capensis,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Bucco macrodactylus,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Bucco tamatia,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Burhinus superciliaris,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Busarellus nigricollis,Ave,Lista Roja de las Aves del Ecuador 2019,,direct_model_species,yes,allowed,black-collared hawk,4c936a8d-f4cc-4b6e-a24a-f1546bf31880;aves;accipitriformes;accipitridae;busarellus;nigricollis;black-collared hawk
Buteo albigula,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Buteo albonotatus,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Buteo brachyurus,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Buteo galapagoensis,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Buteo nitidus,Ave,Lista Roja de las Aves del Ecuador 2019,,direct_model_species,yes,allowed,gray-lined hawk,7eeb3a5c-1a31-4e58-9297-bd50b3bf6c1e;aves;accipitriformes;accipitridae;buteo;nitidus;gray-lined hawk
Buteo platypterus,Ave,Lista Roja de las Aves del Ecuador 2019,,direct_model_species,yes,allowed,broad-winged hawk,38e24c13-9a60-4c22-b550-b85730bc8f35;aves;accipitriformes;accipitridae;buteo;platypterus;broad-winged hawk
Buteo swainsoni,Ave,Lista Roja de las Aves del Ecuador 2019,,direct_model_species,yes,blocked by allow-list,swainson's hawk,49ef7124-f14d-46c9-82d7-cd77ee9e17c0;aves;accipitriformes;accipitridae;buteo;swainsoni;swainson's hawk
Buteogallus anthracinus,Ave,Lista Roja de las Aves del Ecuador 2019,,direct_model_species,yes,allowed,common black-hawk,aa191c53-bf22-47d7-bad0-6bb76f43f934;aves;accipitriformes;accipitridae;buteogallus;anthracinus;common black-hawk
Buteogallus meridionalis,Ave,Lista Roja de las Aves del Ecuador 2019,,direct_model_species,yes,allowed,savanna hawk,32c77ff5-f531-4cd2-b396-c8daefc7acd4;aves;accipitriformes;accipitridae;buteogallus;meridionalis;savanna hawk
Buteogallus schistaceus,Ave,Lista Roja de las Aves del Ecuador 2019,,direct_model_species,yes,allowed,slate-colored hawk,a534c910-9549-4d5f-9672-e5f03cd7ea83;aves;accipitriformes;accipitridae;buteogallus;schistaceus;slate-colored hawk
Buteogallus solitarius,Ave,Lista Roja de las Aves del Ecuador 2019,,direct_model_species,yes,allowed,black solitary eagle,2ecf2274-0f23-49b0-9099-e234f45818c2;aves;accipitriformes;accipitridae;buteogallus;solitarius;black solitary eagle
Buteogallus urubitinga,Ave,Lista Roja de las Aves del Ecuador 2019,,direct_model_species,yes,allowed,great black hawk,ed449f52-bc93-4502-a035-ed3c19927cf0;aves;accipitriformes;accipitridae;buteogallus;urubitinga;great black hawk
Buthraupis montana,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Buthraupis wetmorei,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Butorides striata,Ave,Lista Roja de las Aves del Ecuador 2019,,direct_model_species,yes,allowed,héron à dos vert,652398dc-e64a-4ed5-a53c-7e7f72f248ed;aves;pelecaniformes;ardeidae;butorides;striata;héron à dos vert
Butorides striata sundevalli,Ave,Lista Roja de las Aves del Ecuador 2019,,binomial_model_species,yes,allowed,héron à dos vert,652398dc-e64a-4ed5-a53c-7e7f72f248ed;aves;pelecaniformes;ardeidae;butorides;striata;héron à dos vert
Butorides virescens,Ave,Lista Roja de las Aves del Ecuador 2019,,direct_model_species,yes,blocked by allow-list,green heron,8ed8aff1-cd22-47c4-8f9a-80ed276d88e9;aves;pelecaniformes;ardeidae;butorides;virescens;green heron
Cacicus cela,Ave,Lista Roja de las Aves del Ecuador 2019,,direct_model_species,yes,allowed,yellow-rumped cacique,572b9efb-5e2b-4703-93ce-57b29793bd7b;aves;passeriformes;icteridae;cacicus;cela;yellow-rumped cacique
Cacicus chrysonotus,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Cacicus haemorrhous,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Cacicus latirostris,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Cacicus oseryi,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Cacicus sclateri,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Cacicus solitarius,Ave,Lista Roja de las Aves del Ecuador 2019,,direct_model_species,yes,allowed,solitary cacique,c89fd8c6-44ef-460c-a8e5-5fde55fc482f;aves;passeriformes;icteridae;cacicus;solitarius;solitary cacique
Cacicus uropygialis,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Cairina moschata,Ave,Lista Roja de las Aves del Ecuador 2019,,direct_model_species,yes,allowed,muscovy duck,2a54b5b4-1d76-4e1d-97ad-d5cf459d53b3;aves;anseriformes;anatidae;cairina;moschata;muscovy duck
Calidris acuminata,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Calidris alba,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Calidris alpina,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Calidris bairdii,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Calidris canutus,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Calidris ferruginea,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Calidris fuscicollis,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Calidris himantopus,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
